Study,Year,Citation,doi,Study Number,City,Province_State,Country,Location,Genus,Species,Common Name,Sub-common name,Water (Fresh/Salt/Anadromous/Estuarine),LS,Lifestage,Group,Concentration,Duration,SEV_old,SEV,Response,Habitat_Related,Database,Comments
LaPerriere,,"Personal Communications, cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Thymallus,arcticus,Grayling,Arctic,,Sac Fry,SF,SEL,65,24,10,10,,No,Old,
LaPerriere,,"Personal Communications, cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Thymallus,arcticus,Grayling,Arctic,,Sac Fry,SF,SEL,21.7,72,10,10,,No,Old,
LaPerriere,,"Personal Communications, cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Thymallus,arcticus,Grayling,Arctic,,Sac Fry,SF,SEL,20,96,10,10,,No,Old,
LaPerriere,,"Personal Communications, cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Thymallus,arcticus,Grayling,Arctic,,Sac Fry,SF,SEL,142.5,48,11,11,,No,Old,
LaPerriere,,"Personal Communications, cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Thymallus,arcticus,Grayling,Arctic,,Sac Fry,SF,SEL,185,72,12,12,,No,Old,
LaPerriere,,"Personal Communications, cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Thymallus,arcticus,Grayling,Arctic,,Sac Fry,SF,SEL,230,96,12,12,,No,Old,
Cederholm,1981,"Cederholm, C. J.. L. M. Reid. and E. O. Salo. 1981. Cumulative effects of logging road sediment on salmonid populations in the Clearwater River, Jefferson County, Washington. Pages 38-74 in Salmon spawning gravel: a renewable resource in the Pacific Northwest. Washington State University, Washington. Water Research Center. Report 39. Pullman. Cited by Newcombe and Jensen (1996).",,1,Jefferson County,Washington,USA,Clearwater River,,,Salmon,,,Egg,E,SEL,117,960,10,10,,No,Old,
Langer,1980,"Langer, O. E. 1980. Effects of sedimentation on salmonid stream life. Environment Canada. Environmental Protection Service, unpublished report. North Vancouver, British Columbia. Cited by Newcombe and Jensen (1996).",,1,North Vancouver,British Columbia,Canada,NA,Oncorhynchus,keta,Salmon,Chum,,Egg,E,SEL,97,2808,13,13,,No,Old,
Shaw and Maga,1943,"Shaw, P. A., and J. A. Maga. 1943. The effect of mining silt on yield of fry from salmon spawning beds. California Fish and Game 29:29-41. Cited by Newcombe and Jensen (1996).",,1,Santa Cruz County,California,USA,Brookdale Fish Hatchery,Oncorhynchus,kisutch,Salmon,Coho,,Egg,E,SEL,157,1728,14,14,,No,Old,
Slaney,1977,"Slaney, P. A., T. G. Halsey. and H. A. Smith. 1977a. Some effects of forest harvesting on salmonid rearing habitat in two streams in the central interior of British Columbia. British Columbia Ministry of Recreation and Conservation, Fish and Wildlife. Cited by Newcombe and Jensen (1996).",,1,NA,British Columbia,Canada,Centennial Creek,Oncorhynchus,mykiss,Salmon,Steelhead,A,Egg,E,SEL,37,1488,12,12,,No,Old,
Cederholm,1981,"Cederholm, C. J.. L. M. Reid. and E. O. Salo. 1981. Cumulative effects of logging road sediment on salmonid populations in the Clearwater River, Jefferson County, Washington. Pages 38-74 in Salmon spawning gravel: a renewable resource in the Pacific Northwest. Washington State University, Washington. Water Research Center. Report 39. Pullman. Cited by Newcombe and Jensen (1996).",,1,Jefferson County,Washington,USA,Clearwater River,,,Trout,,,Egg,E,SEL,117,960,10,10,,No,Old,
Campbell,1954,"Campbell, H. J. 1954. The effect of siltation from gold dredging on the survival of rainbow trout and eyed eggs in Powder River. Oregon. Bulletin of the Oregon State Game Commission. Portland. Cited by Newcombe and Jensen (1996).",,1,NA,Oregon,USA,Powder River,Oncorhynchus,mykiss,Trout,Rainbow,,Eyed Egg,EE,SEL,1750,144,10,10,,No,Old,
Slaney,1977,"Slaney, P. A., T. G. Halsey. and H. A. Smith. 1977a. Some effects of forest harvesting on salmonid rearing habitat in two streams in the central interior of British Columbia. British Columbia Ministry of Recreation and Conservation, Fish and Wildlife. Cited by Newcombe and Jensen (1996).",,1,NA,British Columbia,Canada,Centennial Creek,Oncorhynchus,mykiss,Trout,Rainbow,,Egg,E,SEL,6.6,1152,11,11,,No,Old,
Slaney,1977,"Slaney, P. A., T. G. Halsey. and H. A. Smith. 1977a. Some effects of forest harvesting on salmonid rearing habitat in two streams in the central interior of British Columbia. British Columbia Ministry of Recreation and Conservation, Fish and Wildlife. Cited by Newcombe and Jensen (1996).",,1,NA,British Columbia,Canada,Centennial Creek,Oncorhynchus,mykiss,Trout,Rainbow,,Egg,E,SEL,57,1488,12,12,,No,Old,
Erman and Lignon,1988,"Erman, D. C., and F. K. Lignon. 1988. Effects of discharge fluctuation and the addition of fine sediment on stream fish and macroinvertebrates below a water-filtration facility. Environmental Management 12:85-97. Cited by Newcombe and Jensen (1996).",,1,San Francisco,California,USA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Egg,E,SEL,120,384,13,13,,No,Old,
Slaney,1977,"Slaney, P. A., T. G. Halsey. and H. A. Smith. 1977a. Some effects of forest harvesting on salmonid rearing habitat in two streams in the central interior of British Columbia. British Columbia Ministry of Recreation and Conservation, Fish and Wildlife. Cited by Newcombe and Jensen (1996).",,1,NA,British Columbia,Canada,Centennial Creek,Oncorhynchus,mykiss,Trout,Rainbow,,Egg,E,SEL,20.8,1152,13,13,,No,Old,
Slaney,1977,"Slaney. P. A.. T. G. Halsey. and A. F. Tautz. I977b. Effects of forest harvesting practices on spawning habitat of stream salmonids in the Centennial Creek watershed, British Columbia. British Columbia Ministry of Recreation and Conservation, Fish and Wildlife Branch. Fisheries Management Report 73, Victoria. Cited by Newcombe and Jensen (1996).",,2,NA,British Columbia,Canada,Centennial Creek,Oncorhynchus,mykiss,Trout,Rainbow,,Egg,E,SEL,46.6,1152,14,14,,No,Old,
Turnpenny and Williams,1980,"Turnpenny. A. W. H., and R. Williams. 1980. Effects of sedimentation on the gravels of an industrial river system. Journal of Fish Biology 17:681-693. Cited by Newcombe and Jensen (1996).",,1,Newport,NA,Wales,Ebbw River,Oncorhynchus,mykiss,Trout,Rainbow,,Egg,E,SEL,101,1440,14,14,,No,Old,
Breitburg,1988,Breitburg. L. 1988. Effects of turbidity on prey consumption by striped bass larvae. Transactions of the American Fisheries Society 117:72-77. Cited by Newcombe and Jensen (1996).,,1,NA,NA,NA,NA,Morone,saxatilis,Bass,Striped,A,Egg,L,NEL,200,0.42,4,4,,No,Old,
Morgan,1983,"Morgan. R. P., II. J. R. Rasin. Jr., and L. A. Noe. 1983. Sediment effects on eggs and larvae of striped bass and white perch. Transactions of the American Fisheries Society 112:220-224. Cited by Newcombe and Jensen (1996).",,1,Solomons,Maryland,USA,Paxutent River,Morone,saxatilis,Bass,Striped,A,Egg,E,NEL,800,24,9,9,,No,Old,
Schubel and Wang,1973,Schubel. J. R.. and J. C. S. Wang. 1973. The effects of suspended sediment on the hatching success of Perca flavescens (yellow perch). Morone americanu (white perch). Morone saxutilis (striped bass) and Alosa pseudoharengua (alewife) eggs. Chesapeake Bay Institute. Johns Hopkins University Special Report 30. Reference 73-3. Baltimore. Maryland. Cited by Newcombe and Jensen (1996).,,1,Baltimore,Maryland,USA,NA,Morone,saxatilis,Bass,Striped,A,Egg,E,NEL,100,24,9,9,,No,Old,
Auld and Schubel,1978,"A Auld, J Schubel, Effects of suspended sediment on fish eggs and133larvae: A laboratory assessment.Estuar. Coast. Mar. Sci.6, 153–164134(1978). Cited by Newcombe and Jensen (1996).",https://doi.org/10.1016/0302-3524(78)90097-X,1,Chesapeake Bay,Maryland,USA,NA,Morone,saxatilis,Bass,Striped,A,Egg,E,NEL,1000,168,10,10,,No,Old,
Auld and Schubel,1978,"A Auld, J Schubel, Effects of suspended sediment on fish eggs and133larvae: A laboratory assessment.Estuar. Coast. Mar. Sci.6, 153–164134(1978). Cited by Newcombe and Jensen (1996).",https://doi.org/10.1016/0302-3524(78)90097-X,1,Chesapeake Bay,Maryland,USA,NA,Morone,saxatilis,Bass,Striped,A,Larva,L,NEL,1000,68,11,11,,No,Old,
Auld and Schubel,1978,"A Auld, J Schubel, Effects of suspended sediment on fish eggs and133larvae: A laboratory assessment.Estuar. Coast. Mar. Sci.6, 153–164134(1978). Cited by Newcombe and Jensen (1996).",https://doi.org/10.1016/0302-3524(78)90097-X,1,Chesapeake Bay,Maryland,USA,NA,Morone,saxatilis,Bass,Striped,A,Larva,L,NEL,500,72,12,12,,No,Old,
Morgan,1973,"Morgan, R. P., II. J. V. Rasin, Jr., and L. A. Noe. 1973. Effects of suspended sediments on the development of eggs and larvae of striped bass and white perch, appendix 11. Final Report to U.S. Army Corps of Engineers. Contract DACW61-71-C0062, Philadelphia. Cited by Newcombe and Jensen (1996).",,1,Solomons,Maryland,USA,Paxutent River,Morone,saxatilis,Bass,Striped,A,Larva,L,NEL,485,24,12,12,,No,Old,
Johnson and Wildish,1982,"Johnson, D. D., and D. J. Wildish. 1982. Effect of suspended sediment on feeding by larval herring (Clupea harengus harengus L.). Bulletin of Environmental Contamination and Toxicology 29:261-267. Cited by Newcombe and Jensen (1996).",,1,Grand Manan,New Brunswick,Canada,NA,,,Herring,,,Larva,L,NEL,10,3,3,3,,No,Old,
Swenson and Matson,1976,"Swenson. W. A., and M. L. Matson. 1976. Influence of turbidity on survival, growth, and distribution of larval lake herring (Coregonus artedii). Transactions of the American Fisheries Society 105:541-545. Cited by Newcombe and Jensen (1996).",,1,NA,Wisconsin,USA,Lake Superior,Coregonus,artedi,Herring,Lake,F,Larva,L,NEL,16,24,3,3,,No,Old,
Boehlert and Morgan,1985,"Boehlert. G. W., and J. B. Morgan. 1985. Turbidity enhances feeding abilities of larva) Pacific herring (Clupea harengus pallasi). Hydrobiologia 123:161-170. Cited by Newcombe and Jensen (1996).",,1,Yaquina Bay,Oregon,USA,NA,Clupea,pallasii,Herring,Pacific,S,Larva,L,NEL,2000,2,4,4,,No,Old,
Boehlert,1984,"Boehlert, G. W. 1984. Abrasive effects of Mount St. Helens ash upon epidermis of yolk sac larvae of Pacific herring Clupea harengus pallasi. Marine Environmental Research 12:113-126. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Clupea,pallasii,Herring,Pacific,S,Larva,L,NEL,1000,24,8,8,,No,Old,
Boehlert,1984,"Boehlert, G. W. 1984. Abrasive effects of Mount St. Helens ash upon epidermis of yolk sac larvae of Pacific herring Clupea harengus pallasi. Marine Environmental Research 12:113-126. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Clupea,pallasii,Herring,Pacific,S,Larva,L,NEL,4000,24,8,8,,No,Old,
Morgan,1983,"Morgan. R. P., II. J. R. Rasin. Jr., and L. A. Noe. 1983. Sediment effects on eggs and larvae of striped bass and white perch. Transactions of the American Fisheries Society 112:220-224. Cited by Newcombe and Jensen (1996).",,1,Solomons,Maryland,USA,Paxutent River,Morone,americana,Perch,White,E,Egg,E,NEL,800,24,9,9,,No,Old,
Schubel and Wang,1973,Schubel. J. R.. and J. C. S. Wang. 1973. The effects of suspended sediment on the hatching success of Perca flavescens (yellow perch). Morone americanu (white perch). Morone saxutilis (striped bass) and Alosa pseudoharengua (alewife) eggs. Chesapeake Bay Institute. Johns Hopkins University Special Report 30. Reference 73-3. Baltimore. Maryland. Cited by Newcombe and Jensen (1996).,,1,Baltimore,Maryland,USA,NA,Morone,americana,Perch,White,E,Egg,E,NEL,100,24,9,9,,No,Old,
Auld and Schubel,1978,"A Auld, J Schubel, Effects of suspended sediment on fish eggs and133larvae: A laboratory assessment.Estuar. Coast. Mar. Sci.6, 153–164134(1978). Cited by Newcombe and Jensen (1996).",https://doi.org/10.1016/0302-3524(78)90097-X,1,Chesapeake Bay,Maryland,USA,NA,Morone,americana,Perch,White,E,Egg,E,NEL,1000,168,10,10,,No,Old,
Morgan,1973,"Morgan, R. P., II. J. V. Rasin, Jr., and L. A. Noe. 1973. Effects of suspended sediments on the development of eggs and larvae of striped bass and white perch, appendix 11. Final Report to U.S. Army Corps of Engineers. Contract DACW61-71-C0062, Philadelphia. Cited by Newcombe and Jensen (1996).",,1,Solomons,Maryland,USA,Paxutent River,Morone,americana,Perch,White,E,Larva,L,NEL,155,48,12,12,,No,Old,
Morgan,1973,"Morgan, R. P., II. J. V. Rasin, Jr., and L. A. Noe. 1973. Effects of suspended sediments on the development of eggs and larvae of striped bass and white perch, appendix 11. Final Report to U.S. Army Corps of Engineers. Contract DACW61-71-C0062, Philadelphia. Cited by Newcombe and Jensen (1996).",,1,Solomons,Maryland,USA,Paxutent River,Morone,americana,Perch,White,E,Larva,L,NEL,373,24,12,12,,No,Old,
Morgan,1973,"Morgan, R. P., II. J. V. Rasin, Jr., and L. A. Noe. 1973. Effects of suspended sediments on the development of eggs and larvae of striped bass and white perch, appendix 11. Final Report to U.S. Army Corps of Engineers. Contract DACW61-71-C0062, Philadelphia. Cited by Newcombe and Jensen (1996).",,1,Solomons,Maryland,USA,Paxutent River,Morone,americana,Perch,White,E,Larva,L,NEL,280,48,12,12,,No,Old,
Auld and Schubel,1978,"A Auld, J Schubel, Effects of suspended sediment on fish eggs and133larvae: A laboratory assessment.Estuar. Coast. Mar. Sci.6, 153–164134(1978). Cited by Newcombe and Jensen (1996).",https://doi.org/10.1016/0302-3524(78)90097-X,1,Chesapeake Bay,Maryland,USA,NA,Perca,flavescens,Perch,Yellow,F,Larva,L,NEL,500,96,11,11,,No,Old,
Auld and Schubel,1978,"A Auld, J Schubel, Effects of suspended sediment on fish eggs and133larvae: A laboratory assessment.Estuar. Coast. Mar. Sci.6, 153–164134(1978). Cited by Newcombe and Jensen (1996).",https://doi.org/10.1016/0302-3524(78)90097-X,1,Chesapeake Bay,Maryland,USA,NA,Perca,flavescens,Perch,Yellow,F,Larva,L,NEL,1000,96,11,11,,No,Old,
Auld and Schubel,1978,"A Auld, J Schubel, Effects of suspended sediment on fish eggs and133larvae: A laboratory assessment.Estuar. Coast. Mar. Sci.6, 153–164134(1978). Cited by Newcombe and Jensen (1996).",https://doi.org/10.1016/0302-3524(78)90097-X,1,Chesapeake Bay,Maryland,USA,NA,Alosa,sapidissima,Shad,American,A,Larva,L,NEL,100,96,10,10,,No,Old,
Auld and Schubel,1978,"A Auld, J Schubel, Effects of suspended sediment on fish eggs and133larvae: A laboratory assessment.Estuar. Coast. Mar. Sci.6, 153–164134(1978). Cited by Newcombe and Jensen (1996).",https://doi.org/10.1016/0302-3524(78)90097-X,1,Chesapeake Bay,Maryland,USA,NA,Alosa,sapidissima,Shad,American,A,Larva,L,NEL,500,96,11,11,,No,Old,
Auld and Schubel,1978,"A Auld, J Schubel, Effects of suspended sediment on fish eggs and133larvae: A laboratory assessment.Estuar. Coast. Mar. Sci.6, 153–164134(1978). Cited by Newcombe and Jensen (1996).",https://doi.org/10.1016/0302-3524(78)90097-X,1,Chesapeake Bay,Maryland,USA,NA,Alosa,sapidissima,Shad,American,A,Larva,L,NEL,1000,96,11,11,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Anchoa,mitchilli,Anchovy,Bay,S,Adult,A,ANE,231,24,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Anchoa,mitchilli,Anchovy,Bay,S,Adult,A,ANE,471,24,12,12,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Anchoa,mitchilli,Anchovy,Bay,S,Adult,A,ANE,960,24,14,14,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Morone,saxatilis,Bass,Striped,A,Adult,A,ANE,1500,336,8,8,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Morone,saxatilis,Bass,Striped,A,Adult,A,ANE,1500,336,8,8,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Tautogolabrus,adspersus,Cunner,,S,Adult,A,ANE,28000,24,12,12,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Tautogolabrus,adspersus,Cunner,,S,Adult,A,ANE,133000,12,12,12,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Tautogolabrus,adspersus,Cunner,,S,Adult,A,ANE,100000,24,12,12,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Tautogolabrus,adspersus,Cunner,,S,Adult,A,ANE,72000,48,12,12,,No,Old,
Kemp,1949,"Kemp, H. A. 1949. Soil pollution in the Potomac River basin. American Water Works Association Journal 41:792-796. Cited by Newcombe and Jensen (1996).",,1,NA,Virginia,USA,Potomac River,,,Fish,,,Adult,A,ANE,3000,240,10,10,,No,Old,
Johnson and Wildish,1982,"Johnson, D. D., and D. J. Wildish. 1982. Effect of suspended sediment on feeding by larval herring (Clupea harengus harengus L.). Bulletin of Environmental Contamination and Toxicology 29:261-267. Cited by Newcombe and Jensen (1996).",,1,Grand Manan,New Brunswick,Canada,NA,Clupea,harengus,Herring,Atlantic,S,Adult,A,ANE,20,3,4,4,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Trinectes,maculatus,Hogchoker,,S,Adult,A,ANE,1240,24,8,8,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Trinectes,maculatus,Hogchoker,,S,Adult,A,ANE,1240,120,8,8,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Trinectes,maculatus,Hogchoker,,S,Adult,A,ANE,1240,120,8,8,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Fundulus,majalis,Killifish,Striped,S,Adult,A,ANE,960,120,8,8,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Fundulus,majalis,Killifish,Striped,S,Adult,A,ANE,3277,24,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Fundulus,majalis,Killifish,Striped,S,Adult,A,ANE,9720,24,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Fundulus,majalis,Killifish,Striped,S,Adult,A,ANE,3819,24,12,12,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Fundulus,majalis,Killifish,Striped,S,Adult,A,ANE,12820,24,12,12,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Fundulus,majalis,Killifish,Striped,S,Adult,A,ANE,16930,24,13,13,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Fundulus,majalis,Killifish,Striped,S,Adult,A,ANE,6136,24,14,14,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Brevoortia,tyrannus,Menhaden,Atlantic,S,Adult,A,ANE,154,24,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Brevoortia,tyrannus,Menhaden,Atlantic,S,Adult,A,ANE,247,24,12,12,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Brevoortia,tyrannus,Menhaden,Atlantic,S,Adult,A,ANE,396,24,14,14,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Cyprinodon,variegatus,Minnow,Sheepshead,E,Adult,A,ANE,200000,24,10,10,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Cyprinodon,variegatus,Minnow,Sheepshead,E,Adult,A,ANE,300000,24,11,11,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Cyprinodon,variegatus,Minnow,Sheepshead,E,Adult,A,ANE,100000,24,14,14,,No,Old,
Rogers,1969,"Rogers. B. A. 1969. Tolerance levels of four species of estuarine fishes to suspended mineral solids. Master's thesis. University of Rhode Island, Kingston. Cited by Newcombe and Jensen (1996).",,1,NA,Rhode Island,USA,NA,Fundulus,heteroclitus,Mummichog,,S,Adult,A,ANE,300000,24,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Fundulus,heteroclitus,Mummichog,,S,Adult,A,ANE,2447,24,10,10,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Fundulus,heteroclitus,Mummichog,,S,Adult,A,ANE,3900,24,12,12,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Fundulus,heteroclitus,Mummichog,,S,Adult,A,ANE,6217,24,14,14,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Morone,americana,Perch,White,E,Adult,A,ANE,650,120,6,6,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Morone,americana,Perch,White,E,Adult,A,ANE,650,120,6,6,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Morone,americana,Perch,White,E,Adult,A,ANE,650,120,6,6,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Morone,americana,Perch,White,E,Adult,A,ANE,305,120,8,8,,No,Old,
Sherk,1975,"Sherk. J. A., J. M. O'Connor, and D. A. Neumann. 1975. Effects of suspended and deposited sediments on estuarine environments. Pages 541-558 in L. E. Cronin, editor. Estuarine Research 2. Academic Press, New York. Cited by Newcombe and Jensen (1996).",,1,NA,Maryland,USA,NA,Morone,americana,Perch,White,E,Adult,A,ANE,650,120,8,8,,No,Old,
