Study,Year,Citation,doi,Study Number,City,Province_State,Country,Location,Genus,Species,Common Name,Sub-common name,Water (Fresh/Salt/Anadromous/Estuarine),LS,Lifestage,Group,Concentration,Duration,SEV_old,SEV,Response,Habitat_Related,Database,Comments
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,300,756,10,5,Fish displaced from their habitat,No,Old,"Old category 10: ""Fish displaced from their habitat"""
McLeay,1983,McLeay. D. J. and five coauthors. 1983. Effects on Arctic grayling (Thymallus arcticus) of short term exposure to Yukon placer mining sediments: laboratory and field studies. Canadian Technical Report of Fisheries and Aquatic Sciences 1171. Cited by Newcombe and Jensen (1996).,,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,100000,168,5,5,No changes in gill histology (not an endpoint),No,Old,
Stober,1981,"Stober. Q. J., and five coauthors. 1981. Effects of suspended volcanic sediment on coho and chinook salmon in the Toutle and Cowlitz rivers. University of Washington. Fisheries Research Institute, Technical Completion Report FRI-UW-8124. Seattle. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,Cowlitz and Toutic Rivers,Oncorhynchus,tshawytscha,Salmon,Chinook,,Smolt,S,JS,943,72,8,8,Tolerance to stress reduced,No,Old,
MacKinley,1987,"MacKinlay, D. D., D. D. MacDonald. M. K. Johnson, and R. F. Fielden. 1987. Culture of chinook salmon (Oncorhynchus tshawytscha) in iron-rich groundwater: Stuart pilot hatchery experiences. Canadian Manuscript Report of Fisheries and Aquatic Sciences 1944. Cited by Newcombe and Jensen (1996).",,1,Fort Saint James,British Columbia,Canada,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,,Juvenile,J,JS,6,1440,9,9,Growth rate reduced,No,Old,
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,,Juvenile,J,JS,1400,36,12,12,Mortality rate 50%,No,Old,
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,,Juvenile,J,JS,9400,36,12,12,Mortality rate 50%,No,Old,
Stober,1981,"Stober. Q. J., and five coauthors. 1981. Effects of suspended volcanic sediment on coho and chinook salmon in the Toutle and Cowlitz rivers. University of Washington. Fisheries Research Institute, Technical Completion Report FRI-UW-8124. Seattle. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,Cowlitz and Toutic Rivers,Oncorhynchus,tshawytscha,Salmon,Chinook,,Smolt,S,JS,488,96,12,12,Mortality rate 50%,No,Old,
Stober,1981,"Stober. Q. J., and five coauthors. 1981. Effects of suspended volcanic sediment on coho and chinook salmon in the Toutle and Cowlitz rivers. University of Washington. Fisheries Research Institute, Technical Completion Report FRI-UW-8124. Seattle. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,Cowlitz and Toutic Rivers,Oncorhynchus,tshawytscha,Salmon,Chinook,,Smolt,S,JS,11000,96,12,12,Mortality rate 50%,No,Old,
Stober,1981,"Stober. Q. J., and five coauthors. 1981. Effects of suspended volcanic sediment on coho and chinook salmon in the Toutle and Cowlitz rivers. University of Washington. Fisheries Research Institute, Technical Completion Report FRI-UW-8124. Seattle. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,Cowlitz and Toutic Rivers,Oncorhynchus,tshawytscha,Salmon,Chinook,,Smolt,S,JS,19364,96,12,12,Mortality rate 50%,No,Old,
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,tshawytscha,Salmon,Chinook,,Juvenile,J,JS,39400,36,14,14,Mortality rate 90%,No,Old,
Smith,1940,"Smith, O. R. 1940. Placer mining silt and its relation to the salmon and trout on the Pacific coast. Transactions of the American Fisheries Society 69:225-230. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,keta,Salmon,Chum,,Juvenile,J,JS,28000,96,12,12,Mortality rate 50%,No,Old,
Smith,1940,"Smith, O. R. 1940. Placer mining silt and its relation to the salmon and trout on the Pacific coast. Transactions of the American Fisheries Society 69:225-230. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,keta,Salmon,Chum,,Juvenile,J,JS,55000,96,12,12,Mortality rate 50%,No,Old,
Berg,1983,"Berg, L. 1983. Effects of short term exposure to suspended sediments on the behaviour of juvenile coho salmon. Master's thesis. University of British Columbia. Vancouver. Cited by Newcombe and Jensen (1996).",,1,Bamfield,British Columbia,Canada,Carnation Creek Watershed,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,53.5,0.02,1,1,Alarm reaction,No,Old,
Bisson and Bilby,1982,"Bisson, P. A., and R. E. Bilby. 1982. Avoidance of suspended sediment by juvenile coho salmon. North American Journal of Fisheries Management 2:371-374. Cited by Newcombe and Jensen (1996).",,1,NA,Washington,USA,Deschutes River,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,88,0.02,1,1,Alarm reaction,No,Old,
